latitude,longitude,MAG,DEPTH,LOCATION,IRIS_ID,DATE and TIME (UTC)?
12.6,-89.19,4.5,35,OFF COAST OF CENTRAL AMERICA,??11008358,2019-02-24 3:07
-18.08,-177.94,4.2,610,FIJI ISLANDS REGION,??11012191,2019-02-24 2:40
1.67,127.53,4.6,117,"HALMAHERA, INDONESIA",??11008351,2019-02-24 1:46
11.54,-86.89,4.4,35,NEAR COAST OF NICARAGUA,??11008349,2019-02-24 1:25
37.5,141.99,4.4,26,"NEAR EAST COAST OF HONSHU, JAPAN",??11008338,2019-02-24 0:33
51.85,177.75,4,81,"RAT ISLANDS, ALEUTIAN ISLANDS",??11013072,2019-02-23 23:31
4.73,127.5,4.3,155,"TALAUD ISLANDS, INDONESIA",??11013070,2019-02-23 21:59
29.5,104.54,4.9,10,"SICHUAN, CHINA",??11008307,2019-02-23 21:38
64.64,-17.57,4.5,10,ICELAND,??11008316,2019-02-23 21:24
-2.61,100.2,4.2,29,"SOUTHERN SUMATRA, INDONESIA",??11013042,2019-02-23 21:19
-41.73,174.13,4.1,19,"COOK STRAIT, NEW ZEALAND",??11008362,2019-02-23 20:56
13.8,144.56,4.5,148,MARIANA ISLANDS,??11013038,2019-02-23 20:54
-23.4,-67.68,4.1,140,CHILE-ARGENTINA BORDER REGION,??11013036,2019-02-23 20:41
-20.94,169.21,4.6,10,VANUATU ISLANDS,??11013032,2019-02-23 20:11
16.92,-60.54,4.1,26,LEEWARD ISLANDS,??11008301,2019-02-23 19:58
19.26,-67.8,4.2,77,MONA PASSAGE,??11008293,2019-02-23 19:21
-9.76,149.93,5.1,9,"EASTERN NEW GUINEA REG., P.N.G.",??11008275,2019-02-23 17:40
-21.68,-63.19,4.9,23,SOUTHERN BOLIVIA,??11008258,2019-02-23 16:34
-23.13,-66.65,5,204,"JUJUY PROVINCE, ARGENTINA",??11008211,2019-02-23 12:14
1.11,128.21,5,10,"HALMAHERA, INDONESIA",??11008205,2019-02-23 11:43
37.2,71.81,4,170,AFGHANISTAN-TAJIKISTAN BORD REG.,??11008197,2019-02-23 11:07
-23.42,-69.44,4.1,104,NORTHERN CHILE,??11008193,2019-02-23 9:55
37.04,141.9,4.4,43,"NEAR EAST COAST OF HONSHU, JAPAN",??11008161,2019-02-23 6:48
32.7,129.97,4.6,10,"KYUSHU, JAPAN",??11008157,2019-02-23 5:30
56.37,-148.52,4.4,12,GULF OF ALASKA,??11008145,2019-02-23 4:45
14.89,120.19,4.9,72,"LUZON, PHILIPPINES",??11008140,2019-02-23 4:14
50.82,-172.52,4.1,10,"ANDREANOF ISLANDS, ALEUTIAN IS.",??11008130,2019-02-23 2:51
-2.16,-77.4,4.2,135,PERU-ECUADOR BORDER REGION,??11011807,2019-02-23 2:40
-6.85,116.48,4.1,528,BALI SEA,??11008133,2019-02-23 2:18
34.6,23.93,4.2,35,"CRETE, GREECE",??11008120,2019-02-23 2:06
6.78,127.8,4.6,10,PHILIPPINE ISLANDS REGION,??11012826,2019-02-23 0:54
54.27,165.04,4.4,10,KOMANDORSKIYE OSTROVA REGION,??11008044,2019-02-22 23:37
-17.84,-13.52,5.5,10,SOUTHERN MID-ATLANTIC RIDGE,??11008001,2019-02-22 21:15
-20.86,-70.71,4.4,19,NEAR COAST OF NORTHERN CHILE,??11007967,2019-02-22 18:13
-7.73,127.63,4.5,186,BANDA SEA,??11007877,2019-02-22 12:54
-8.45,-75.14,4.6,124,CENTRAL PERU,??11007875,2019-02-22 12:31
-2.3,-79.73,5.5,82,NEAR COAST OF ECUADOR,??11007861,2019-02-22 10:40
-2.2,-77.02,7.5,132,PERU-ECUADOR BORDER REGION,??11007849,2019-02-22 10:17
-30.76,-71.01,4.6,89,NEAR COAST OF CENTRAL CHILE,??11007845,2019-02-22 9:25
49.37,156.22,4.7,35,KURIL ISLANDS,??11007833,2019-02-22 8:01
45.92,-111.34,4.04,4,MONTANA,??11007824,2019-02-22 6:44
-31.32,-71.17,4.5,90,NEAR COAST OF CENTRAL CHILE,??11007832,2019-02-22 5:12
26.21,140.53,4.6,10,"BONIN ISLANDS, JAPAN REGION",??11011803,2019-02-22 4:57
-15.24,-173.2,4.9,10,TONGA ISLANDS,??11012123,2019-02-22 3:14
-22.45,-67.78,4.1,177,CHILE-BOLIVIA BORDER REGION,??11007784,2019-02-22 1:44
15.74,-94.62,4.1,46,"NEAR COAST OF OAXACA, MEXICO",??11007717,2019-02-22 0:31
55.7,-149.34,4.6,6,GULF OF ALASKA,??11007714,2019-02-22 0:28
63.01,-57.23,4.9,10,DAVIS STRAIT,??11007695,2019-02-21 22:51
-15.27,-73,5.2,69,SOUTHERN PERU,??11007679,2019-02-21 22:17
6.31,94.23,4.6,73,"NICOBAR ISLANDS, INDIA REGION",??11007999,2019-02-21 19:34
51.82,-173.3,4.1,51,"ANDREANOF ISLANDS, ALEUTIAN IS.",??11007619,2019-02-21 17:13
54.75,164.54,4.8,10,KOMANDORSKIYE OSTROVA REGION,??11007567,2019-02-21 16:07
42.81,141.95,5.5,41,"HOKKAIDO, JAPAN REGION",??11007545,2019-02-21 12:22
12.62,-87.79,4.4,65,NEAR COAST OF NICARAGUA,??11009762,2019-02-21 11:44
-11.19,162.07,5.1,40,SOLOMON ISLANDS,??11007536,2019-02-21 10:50
52.4,-168.54,4.2,29,"FOX ISLANDS, ALEUTIAN ISLANDS",??11007523,2019-02-21 8:52
13.46,-89.71,4.2,65,EL SALVADOR,??11007529,2019-02-21 8:52
-20.85,-70.69,4.5,12,NEAR COAST OF NORTHERN CHILE,??11007511,2019-02-21 7:37
-20.86,-178.83,5.6,617,FIJI ISLANDS REGION,??11007500,2019-02-21 6:34
52.27,160.51,4.4,35,OFF EAST COAST OF KAMCHATKA,??11007485,2019-02-21 5:42
28.54,129.99,4.9,35,"RYUKYU ISLANDS, JAPAN",??11007418,2019-02-21 2:11
-24.31,-67.12,4.5,183,CHILE-ARGENTINA BORDER REGION,??11007406,2019-02-21 0:42
-12.75,45.41,4.3,10,NORTHWEST OF MADAGASCAR,??11012883,2019-02-20 23:34
-3.6,129.3,4.2,15,"SERAM, INDONESIA",??11012879,2019-02-20 23:17
39.7,26.38,5.1,10,TURKEY,??11007234,2019-02-20 18:23
-5.43,151.66,4.9,35,"NEW BRITAIN REGION, P.N.G.",??11007167,2019-02-20 14:45
-37.1,177.58,4.6,125,"OFF E. COAST OF N. ISLAND, N.Z.",??11007818,2019-02-20 14:18
53.68,161.16,4.6,40,OFF EAST COAST OF KAMCHATKA,??11007817,2019-02-20 14:13
14.68,53.71,5,10,OWEN FRACTURE ZONE REGION,??11007151,2019-02-20 12:33
34.66,24.07,4.4,44,"CRETE, GREECE",??11007140,2019-02-20 10:43
-24.2,-66.95,4.4,188,"SALTA PROVINCE, ARGENTINA",??11007147,2019-02-20 10:22
19.19,99.63,4.6,10,THAILAND,??11007134,2019-02-20 9:05
38.74,-112.5,4.04,8,UTAH,??11007112,2019-02-20 7:05
-6.86,129.19,4.6,206,BANDA SEA,??11007108,2019-02-20 6:50
38.54,97.15,4.8,11,"QINGHAI, CHINA",??11007084,2019-02-20 3:40
28.28,130.2,4.8,10,"RYUKYU ISLANDS, JAPAN",??11007079,2019-02-20 3:18
29.34,77.32,4,10,NORTHERN INDIA,??11007072,2019-02-20 2:29
-15.53,129.27,4.3,10,"NORTHERN TERRITORY, AUSTRALIA",??11012623,2019-02-20 2:26
0.12,119.71,4.3,40,"MINAHASSA PENINSULA, SULAWESI",??11012622,2019-02-20 1:52
38.52,68.98,4.6,10,TAJIKISTAN,??11007063,2019-02-20 1:35
51.4,-176.85,4.1,35,"ANDREANOF ISLANDS, ALEUTIAN IS.",??11007073,2019-02-20 1:14
0.76,126.2,5.5,27,NORTHERN MOLUCCA SEA,??11006978,2019-02-20 0:10
-14.59,167.22,4.7,184,VANUATU ISLANDS,??11012865,2019-02-19 22:00
40.38,27.08,4.1,10,TURKEY,??11006936,2019-02-19 21:33
-37.31,179.08,4.5,48,"OFF E. COAST OF N. ISLAND, N.Z.",??11007262,2019-02-19 20:41
-6.56,101.78,5.1,10,"SOUTHWEST OF SUMATRA, INDONESIA",??11006827,2019-02-19 18:46
38.39,75.13,4.4,115,"SOUTHERN XINJIANG, CHINA",??11007198,2019-02-19 17:33
-24.88,179.85,4.5,510,SOUTH OF FIJI ISLANDS,??11007169,2019-02-19 17:24
-7.51,130.33,4.5,35,"TANIMBAR ISLANDS REG., INDONESIA",??11006862,2019-02-19 16:55
47.69,153.45,4.3,45,KURIL ISLANDS,??11011216,2019-02-19 16:44
-16.51,-177.82,4.3,205,FIJI ISLANDS REGION,??11011083,2019-02-19 16:31
38.83,141.68,4.6,71,"NEAR EAST COAST OF HONSHU, JAPAN",??11006853,2019-02-19 16:24
-32.47,-178.1,4.6,10,SOUTH OF KERMADEC ISLANDS,??11011068,2019-02-19 15:56
-29.92,-178.36,4.6,14,"KERMADEC ISLANDS, NEW ZEALAND",??11011062,2019-02-19 14:16
14.51,-93.12,4.5,36,"NEAR COAST OF CHIAPAS, MEXICO",??11011059,2019-02-19 14:13
-20.93,168.7,4.8,5,LOYALTY ISLANDS,??11006793,2019-02-19 13:33
6.88,124.99,4.4,4,"MINDANAO, PHILIPPINES",??11011055,2019-02-19 13:28
4.1,128.36,4.9,10,"NORTH OF HALMAHERA, INDONESIA",??11006798,2019-02-19 12:51
-5.73,129.06,4.7,247,BANDA SEA,??11006778,2019-02-19 11:24
-3.38,146.99,4.6,10,BISMARCK SEA,??11006781,2019-02-19 11:06
4.16,-76.82,4.6,66,COLOMBIA,??11006787,2019-02-19 11:06
-8.95,-108.96,4.7,10,CENTRAL EAST PACIFIC RISE,??11006776,2019-02-19 9:50
-14.61,-75.62,4.9,52,NEAR COAST OF PERU,??11006861,2019-02-19 8:32
-13.53,167.28,4.6,198,VANUATU ISLANDS,??11006760,2019-02-19 8:10
-11.05,-75.56,4.5,116,CENTRAL PERU,??11006763,2019-02-19 6:11
-28.01,-71.45,4.8,25,NEAR COAST OF CENTRAL CHILE,??11007054,2019-02-19 5:09
53.44,161.41,4.6,14,OFF EAST COAST OF KAMCHATKA,??11006717,2019-02-19 0:26
-9.8,112.77,4.2,35,"SOUTH OF JAVA, INDONESIA",??11011431,2019-02-18 23:52
19.49,-64.89,4.8,87,VIRGIN ISLANDS,??11006714,2019-02-18 23:38
-9.65,112.83,4.1,35,"SOUTH OF JAVA, INDONESIA",??11012301,2019-02-18 22:21
2.22,96.19,4.3,10,"NORTHERN SUMATRA, INDONESIA",??11006716,2019-02-18 22:11
-9.51,112.86,5.6,22,"SOUTH OF JAVA, INDONESIA",??11006694,2019-02-18 19:30
61.47,-149.96,4.4,38,SOUTHERN ALASKA,??11006679,2019-02-18 17:02
38.59,44.13,4.1,10,TURKEY-IRAN BORDER REGION,??11010915,2019-02-18 16:31
-18.54,169.12,4.2,222,VANUATU ISLANDS,??11010913,2019-02-18 16:23
10.66,125.74,4.5,35,"LEYTE, PHILIPPINES",??11010911,2019-02-18 15:59
-19.18,-172.8,4.9,10,TONGA ISLANDS REGION,??11006675,2019-02-18 15:46
50.04,154.65,4.8,145,KURIL ISLANDS,??11010908,2019-02-18 15:16
-6.58,129.77,4.5,198,BANDA SEA,??11006668,2019-02-18 15:01
-8.49,158.77,4.2,135,SOLOMON ISLANDS,??11010890,2019-02-18 13:25
-5.46,146.75,4.4,157,"EASTERN NEW GUINEA REG., P.N.G.",??11010886,2019-02-18 13:01
30.45,138.5,4.2,422,"SOUTHEAST OF HONSHU, JAPAN",??11006641,2019-02-18 8:01
25.43,125.05,4.6,10,"SOUTHWESTERN RYUKYU ISL., JAPAN",??11006639,2019-02-18 7:32
-0.89,127.29,5,31,"HALMAHERA, INDONESIA",??11006636,2019-02-18 4:15
51.13,179.31,4.4,35,"RAT ISLANDS, ALEUTIAN ISLANDS",??11006614,2019-02-18 3:41
49.95,178.09,4.8,15,SOUTH OF ALEUTIAN ISLANDS,??11006629,2019-02-18 3:41
18.92,-104.34,4.8,35,"NEAR COAST OF JALISCO, MEXICO",??11006613,2019-02-18 3:22
53.54,161.5,4.4,40,OFF EAST COAST OF KAMCHATKA,??11006609,2019-02-18 3:06
-59.89,-26.04,4.6,10,SOUTH SANDWICH ISLANDS REGION,??11012283,2019-02-18 2:03
-59.86,-25.61,4.6,10,SOUTH SANDWICH ISLANDS REGION,??11012277,2019-02-18 1:57
1.67,126.42,5,68,NORTHERN MOLUCCA SEA,??11006604,2019-02-18 1:18
-59.96,-25.66,4.5,10,SOUTH SANDWICH ISLANDS REGION,??11012654,2019-02-17 23:37
-59.91,-25.67,4.6,10,SOUTH SANDWICH ISLANDS REGION,??11012651,2019-02-17 23:26
-59.88,-25.88,5.1,10,SOUTH SANDWICH ISLANDS REGION,??11006606,2019-02-17 23:18
-4.08,121.33,4.5,10,"SULAWESI, INDONESIA",??11006728,2019-02-17 22:40
20.67,122.14,4.7,171,PHILIPPINE ISLANDS REGION,??11008137,2019-02-17 20:36
36.42,141.93,4.8,37,"NEAR EAST COAST OF HONSHU, JAPAN",??11006575,2019-02-17 19:21
36.51,22.92,4.8,10,SOUTHERN GREECE,??11006572,2019-02-17 19:07
-17.99,-177.85,4.7,595,FIJI ISLANDS REGION,??11006574,2019-02-17 18:03
-31.89,57.58,4.9,10,SOUTHWEST INDIAN RIDGE,??11010866,2019-02-17 15:47
53.6,161.62,4.1,10,OFF EAST COAST OF KAMCHATKA,??11010864,2019-02-17 15:43
53.5,161.64,4.5,10,OFF EAST COAST OF KAMCHATKA,??11010861,2019-02-17 15:40
53.58,161.61,4.4,10,OFF EAST COAST OF KAMCHATKA,??11010854,2019-02-17 15:39
53.62,161.69,4.1,10,OFF EAST COAST OF KAMCHATKA,??11010852,2019-02-17 15:36
-0.95,127.7,4.1,10,"HALMAHERA, INDONESIA",??11010845,2019-02-17 15:20
-3.34,152.13,6.4,368,"NEW IRELAND REGION, P.N.G.",??11006560,2019-02-17 14:35
-23.47,-64.69,5,10,"JUJUY PROVINCE, ARGENTINA",??11006664,2019-02-17 13:22
1.15,127.39,4.5,160,"HALMAHERA, INDONESIA",??11006676,2019-02-17 13:18
-54.97,-31.8,4.6,10,SOUTH GEORGIA ISLAND REGION,??11012958,2019-02-17 12:25
-54.98,-31.42,4.7,10,SOUTH GEORGIA ISLAND REGION,??11012957,2019-02-17 12:09
-15.9,-172.63,4.7,10,SAMOA ISLANDS REGION,??11012956,2019-02-17 12:05
-55.1,-31.68,5.1,10,SOUTH GEORGIA ISLAND REGION,??11012953,2019-02-17 11:29
-50.88,-74.62,4.3,13,SOUTHERN CHILE,??11006543,2019-02-17 10:26
-26.4,178.44,4.6,613,SOUTH OF FIJI ISLANDS,??11012947,2019-02-17 10:07
-11.54,118.85,4.6,10,"SOUTH OF SUMBAWA, INDONESIA",??11012945,2019-02-17 9:26
12.1,143.4,4.4,35,SOUTH OF MARIANA ISLANDS,??11010504,2019-02-17 4:45
-16.32,178.84,4.5,10,FIJI ISLANDS,??11010501,2019-02-17 3:08
22.4,92.92,4.8,10,INDIA-BANGLADESH BORDER REGION,??11006517,2019-02-17 2:58
25.28,124.65,5,10,NORTHEAST OF TAIWAN,??11006513,2019-02-17 2:13
29.63,-42.79,4.7,10,NORTHERN MID-ATLANTIC RIDGE,??11010521,2019-02-17 0:04
54.84,163.27,4.1,10,OFF EAST COAST OF KAMCHATKA,??11007480,2019-02-16 23:22
-12.11,-74.21,4.3,10,CENTRAL PERU,??11006494,2019-02-16 23:10
-27.96,-66.86,4.2,180,"CATAMARCA PROVINCE, ARGENTINA",??11006514,2019-02-16 22:44
69.46,-144.1,4,11,NORTHERN ALASKA,??11006487,2019-02-16 22:35
-30.74,59.39,4.9,10,SOUTHWEST INDIAN RIDGE,??11006489,2019-02-16 22:28
25.2,124.67,4.4,10,NORTHEAST OF TAIWAN,??11012528,2019-02-16 22:03
53.54,161.36,4.5,35,OFF EAST COAST OF KAMCHATKA,??11012322,2019-02-16 21:49
13.66,144.74,4,99,MARIANA ISLANDS,??11012621,2019-02-16 21:37
4.11,126.95,4.3,35,"TALAUD ISLANDS, INDONESIA",??11006497,2019-02-16 21:09
37.34,20.98,4.1,10,IONIAN SEA,??11007475,2019-02-16 20:53
-10.25,119.13,4.1,35,"SUMBA REGION, INDONESIA",??11012292,2019-02-16 20:05
-6.93,155.57,4.7,35,SOLOMON ISLANDS,??11006414,2019-02-16 12:47
-2.49,140.17,4.7,34,NEAR NORTH COAST OF IRIAN JAYA,??11006405,2019-02-16 11:01
25.29,125.02,5.2,10,"SOUTHWESTERN RYUKYU ISL., JAPAN",??11006446,2019-02-16 10:01
17.44,-102.82,4.6,10,"NEAR COAST OF MICHOACAN, MEXICO",??11006610,2019-02-16 9:29
25.33,124.96,4.9,18,NORTHEAST OF TAIWAN,??11006386,2019-02-16 9:06
-14.52,167.12,4.2,185,VANUATU ISLANDS,??11012940,2019-02-16 7:55
-12.85,45.45,4.5,10,NORTHWEST OF MADAGASCAR,??11012939,2019-02-16 7:37
41.38,-29.25,5.3,10,AZORES ISLANDS REGION,??11006368,2019-02-16 6:45
-2.41,140.2,5.3,9,NEAR NORTH COAST OF IRIAN JAYA,??11006366,2019-02-16 6:39
-24.11,-67.27,4.3,184,CHILE-ARGENTINA BORDER REGION,??11006383,2019-02-16 6:25
41.28,-29.28,4.9,10,AZORES ISLANDS REGION,??11006378,2019-02-16 5:56
41.21,-29.35,4.5,10,AZORES ISLANDS REGION,??11012404,2019-02-16 5:31
47.72,102.75,4.3,10,MONGOLIA,??11012400,2019-02-16 5:23
25.13,124.62,4.5,10,NORTHEAST OF TAIWAN,??11012401,2019-02-16 5:19
9.36,126.12,4.4,101,"MINDANAO, PHILIPPINES",??11012396,2019-02-16 5:08
34.91,-4.55,4.3,67,MOROCCO,??11006540,2019-02-16 4:35
-20.35,-176.41,4.1,519,FIJI ISLANDS REGION,??11010488,2019-02-16 4:13
45.3,151.5,4.8,35,KURIL ISLANDS,??11006345,2019-02-16 2:53
37.54,20.72,4.2,10,IONIAN SEA,??11006334,2019-02-16 1:57
-4.47,102,4.7,35,"SOUTHERN SUMATRA, INDONESIA",??11006331,2019-02-16 1:27
10.73,-86.35,4.3,20,OFF COAST OF COSTA RICA,??11012650,2019-02-16 0:32
-55.72,-124.95,5.6,10,SOUTHERN EAST PACIFIC RISE,??11006952,2019-02-15 23:51
53.99,160.14,4.6,66,NEAR EAST COAST OF KAMCHATKA,??11006191,2019-02-15 23:21
4.23,124.72,4.2,397,CELEBES SEA,??11012637,2019-02-15 22:58
53.67,-162.92,5.1,35,SOUTH OF ALASKA,??11006173,2019-02-15 22:54
-15.17,-178.83,4.6,420,FIJI ISLANDS REGION,??11011443,2019-02-15 22:19
-0.64,-19.94,4.8,10,CENTRAL MID-ATLANTIC RIDGE,??11012636,2019-02-15 22:17
25.59,95.63,4.1,48,MYANMAR-INDIA BORDER REGION,??11011448,2019-02-15 22:11
28.57,141.69,4.5,41,"BONIN ISLANDS, JAPAN REGION",??11013021,2019-02-15 19:08
-12.88,45.27,4.2,10,NORTHWEST OF MADAGASCAR,??11013019,2019-02-15 19:06
51.72,-176.91,4.8,55,"ANDREANOF ISLANDS, ALEUTIAN IS.",??11005938,2019-02-15 18:11
-25.2,-179.88,4.3,487,SOUTH OF FIJI ISLANDS,??11012819,2019-02-15 17:35
6.8,126.82,5.2,82,"MINDANAO, PHILIPPINES",??11005901,2019-02-15 16:20
23.79,121.75,4.9,47,TAIWAN,??11005878,2019-02-15 14:08
-15.77,-174.78,5.3,294,TONGA ISLANDS,??11005871,2019-02-15 13:40
-13.67,-111.67,4.7,10,CENTRAL EAST PACIFIC RISE,??11005855,2019-02-15 12:47
-0.02,126.68,4.5,51,SOUTHERN MOLUCCA SEA,??11012361,2019-02-15 8:21
48.51,152.86,4,140,KURIL ISLANDS,??11012360,2019-02-15 8:11
-27.64,-178.05,4.5,185,KERMADEC ISLANDS REGION,??11012359,2019-02-15 7:53
15.62,-95.67,4.5,14,"NEAR COAST OF OAXACA, MEXICO",??11005797,2019-02-15 7:22
-30.02,-71.39,4.5,37,NEAR COAST OF CENTRAL CHILE,??11005796,2019-02-15 7:00
50.67,-130.1,4,10,"VANCOUVER ISLAND, CANADA REGION",??11005800,2019-02-15 6:27
-18.09,-178.09,4.5,578,FIJI ISLANDS REGION,??11012353,2019-02-15 6:09
-4.02,128.62,4.4,113,BANDA SEA,??11005787,2019-02-15 5:06
-1.84,151.01,4.7,10,"NEW IRELAND REGION, P.N.G.",??11005777,2019-02-15 4:29
-55.09,-31.63,4.5,10,SOUTH GEORGIA ISLAND REGION,??11010461,2019-02-15 3:47
-18.19,-178.1,4.8,583,FIJI ISLANDS REGION,??11005765,2019-02-15 3:47
24.97,141.48,4.6,84,"VOLCANO ISLANDS, JAPAN REGION",??11006259,2019-02-15 3:34
-0.13,122.72,4.3,86,"MINAHASSA PENINSULA, SULAWESI",??11010452,2019-02-15 3:10
-55.16,-31.73,4.9,10,SOUTH GEORGIA ISLAND REGION,??11005753,2019-02-15 2:56
-9.28,123.54,4.5,82,TIMOR REGION,??11005755,2019-02-15 2:50
-55.33,-27.1,4.7,10,SOUTH SANDWICH ISLANDS REGION,??11010437,2019-02-15 1:16
9.77,126.42,4.9,35,"MINDANAO, PHILIPPINES",??11005654,2019-02-14 21:24
5.71,-76.14,4.5,68,COLOMBIA,??11005662,2019-02-14 21:09
35.35,-35.93,5,10,NORTHERN MID-ATLANTIC RIDGE,??11005645,2019-02-14 20:43
35.44,-36.09,6.2,10,NORTHERN MID-ATLANTIC RIDGE,??11005635,2019-02-14 19:57
45.74,151.06,4.6,64,KURIL ISLANDS,??11005665,2019-02-14 18:53
-12.18,-74.33,5.4,10,CENTRAL PERU,??11005560,2019-02-14 14:33
-3.2,-80.68,4.7,10,PERU-ECUADOR BORDER REGION,??11005565,2019-02-14 13:42
51.82,-174.1,4.1,77,"ANDREANOF ISLANDS, ALEUTIAN IS.",??11005564,2019-02-14 13:01
54.77,164.65,4.5,10,KOMANDORSKIYE OSTROVA REGION,??11007114,2019-02-14 12:35
9.8,126.44,4.7,33,"MINDANAO, PHILIPPINES",??11005552,2019-02-14 11:57
-21.2,-68.33,4.5,130,CHILE-BOLIVIA BORDER REGION,??11005539,2019-02-14 9:54
-20.83,-178.7,4.4,598,FIJI ISLANDS REGION,??11012344,2019-02-14 8:45
28.12,55.79,4.2,10,SOUTHERN IRAN,??11005531,2019-02-14 8:00
-5.76,147,4.5,128,"EASTERN NEW GUINEA REG., P.N.G.",??11005530,2019-02-14 7:54
44.5,145.61,4.3,45,"HOKKAIDO, JAPAN REGION",??11012341,2019-02-14 7:25
45.73,150.32,4.9,85,KURIL ISLANDS,??11005521,2019-02-14 7:18
0.63,-77.79,4.8,10,COLOMBIA-ECUADOR BORDER REGION,??11005519,2019-02-14 6:24
-22.15,169.34,4.3,10,SOUTHEAST OF LOYALTY ISLANDS,??11013134,2019-02-14 6:12
-15.26,-71.67,4.5,143,SOUTHERN PERU,??11005491,2019-02-14 4:02
2.3,128.76,4.9,45,"HALMAHERA, INDONESIA",??11005488,2019-02-14 3:42
33.82,137.12,4.5,362,"NEAR S. COAST OF HONSHU, JAPAN",??11005462,2019-02-14 1:45
50.78,-129.99,4.1,10,"VANCOUVER ISLAND, CANADA REGION",??11006527,2019-02-14 0:54
50.71,-130.09,5.3,10,"VANCOUVER ISLAND, CANADA REGION",??11005452,2019-02-14 0:34
19.79,-109.57,4.4,10,REVILLA GIGEDO ISLANDS REGION,??11006384,2019-02-14 0:00
-6.76,105.8,5,67,"SUNDA STRAIT, INDONESIA",??11005449,2019-02-13 23:41
52.21,-168.26,4.3,10,"FOX ISLANDS, ALEUTIAN ISLANDS",??11010037,2019-02-13 23:18
50.54,-130.31,4,10,"VANCOUVER ISLAND, CANADA REGION",??11006523,2019-02-13 23:14
50.51,-130.35,4.1,10,"VANCOUVER ISLAND, CANADA REGION",??11005427,2019-02-13 22:53
25.78,124.16,4.2,218,NORTHEAST OF TAIWAN,??11011795,2019-02-13 21:49
11.66,144.71,4.5,10,SOUTH OF MARIANA ISLANDS,??11011793,2019-02-13 21:26
-56.11,-27.85,4.4,106,SOUTH SANDWICH ISLANDS REGION,??11011789,2019-02-13 21:20
-9.08,112.58,4.7,73,"SOUTH OF JAVA, INDONESIA",??11005707,2019-02-13 19:58
-2.43,138.22,4.7,29,"IRIAN JAYA, INDONESIA",??11005712,2019-02-13 18:38
-11.77,-75.51,4.9,10,CENTRAL PERU,??11005356,2019-02-13 17:03
1.55,127.29,4.4,113,"HALMAHERA, INDONESIA",??11005408,2019-02-13 16:14
-39.97,44.36,4.2,10,SOUTHWEST INDIAN RIDGE,??11012340,2019-02-13 14:39
-55.39,-27.18,4.9,10,SOUTH SANDWICH ISLANDS REGION,??11005300,2019-02-13 13:21
9.8,126.55,4.9,10,"MINDANAO, PHILIPPINES",??11005298,2019-02-13 12:33
45.39,151.32,4.9,35,KURIL ISLANDS,??11005294,2019-02-13 11:44
-24.03,-175.36,5.1,10,SOUTH OF TONGA ISLANDS,??11005289,2019-02-13 10:53
-13.48,166.41,4.9,10,VANUATU ISLANDS,??11005285,2019-02-13 10:38
45.37,151.39,5,23,KURIL ISLANDS,??11005279,2019-02-13 10:02
-2.42,127.32,4.9,41,CERAM SEA,??11005274,2019-02-13 9:32
45.44,151.29,4.9,33,KURIL ISLANDS,??11005273,2019-02-13 9:25
27.65,52.97,4.3,10,SOUTHERN IRAN,??11013127,2019-02-13 9:19
-6.39,143.56,4.8,10,"NEW GUINEA, PAPUA NEW GUINEA",??11005276,2019-02-13 8:59
9.04,-84.11,4.5,34,COSTA RICA,??11005255,2019-02-13 7:23
51.93,179.67,4.1,67,"RAT ISLANDS, ALEUTIAN ISLANDS",??11010005,2019-02-13 7:09
9.75,126.43,4.9,56,"MINDANAO, PHILIPPINES",??11005246,2019-02-13 6:50
54.67,160.67,5.2,91,NEAR EAST COAST OF KAMCHATKA,??11005244,2019-02-13 6:34
-57.47,-25.03,4.9,35,SOUTH SANDWICH ISLANDS REGION,??11005250,2019-02-13 5:56
-31.33,-178.39,5,10,KERMADEC ISLANDS REGION,??11005231,2019-02-13 4:07
-12.89,45.37,4.2,10,NORTHWEST OF MADAGASCAR,??11012273,2019-02-13 1:45
-12.78,45.38,4.1,10,NORTHWEST OF MADAGASCAR,??11011809,2019-02-13 1:06
-18.63,-177.64,4.2,623,FIJI ISLANDS REGION,??11009251,2019-02-12 23:16
-55.72,-27.77,4.4,35,SOUTH SANDWICH ISLANDS REGION,??11011785,2019-02-12 22:47
-12.86,45.28,4.5,10,NORTHWEST OF MADAGASCAR,??11011782,2019-02-12 22:39
13.85,-47.19,4.8,10,NORTHERN MID-ATLANTIC RIDGE,??11005169,2019-02-12 21:32
36.21,141.49,4.2,46,"NEAR EAST COAST OF HONSHU, JAPAN",??11005162,2019-02-12 20:40
-19.19,65.85,4.5,10,MAURITIUS - REUNION REGION,??11010691,2019-02-12 20:26
13.45,91.75,4.4,10,"ANDAMAN ISLANDS, INDIA REGION",??11005153,2019-02-12 20:21
-50.66,112.91,4.7,10,SOUTHEAST INDIAN RIDGE,??11010683,2019-02-12 18:59
23.71,121.63,4.6,8,TAIWAN,??11005063,2019-02-12 18:23
-3.5,146.78,4.1,10,BISMARCK SEA,??11010680,2019-02-12 18:21
-22.11,169.46,4.9,10,SOUTHEAST OF LOYALTY ISLANDS,??11010676,2019-02-12 17:37
40.5,32.97,4.2,10,TURKEY,??11005043,2019-02-12 17:23
40.58,32.96,4.8,10,TURKEY,??11005036,2019-02-12 17:14
24.84,122.58,4.5,11,TAIWAN REGION,??11005029,2019-02-12 16:39
